gene_id,disease_id,molecule_a,molecule_b,type_a,type_b,host_organism,positive_interaction
307,1,APEX1,mdr1_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
308,1,ASXL1,clp1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
309,1,ASXL1,mcm2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
310,1,ASXL1,polr2k_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
311,1,ASXL1,rpl22_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
312,1,ASXL1,taf12_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
313,1,ATF2,pa24a_human_gene,protein,gene,Homo sapiens Type II pulmonary alveolar epithelial cell,1
314,1,BACH2,il2_human_gene,protein,gene,Homo sapiens umbilical cord blood CD4+ T cell,1
315,1,BCL6,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
316,1,BCL6,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
317,1,BCL6,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
318,1,BCOR,ari3a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
319,1,BCOR,cdkn1a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
320,1,BCOR,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
321,1,BCOR,irf4_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
322,1,BCOR,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
323,1,birc3_human_gene,CCDC22,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
324,1,bmpr1b_human_gene,EZH2,gene,protein,Homo sapiens glioblastoma,1
325,1,BPTF,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
326,1,BRD1,diexf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
327,1,BRD1,diexf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
328,1,BRD1,psb2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
329,1,BRD1,psb2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
330,1,BRD1,wdr7_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
331,1,BRD1,wdr7_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
332,1,BRD1,zc3hf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
333,1,BRD1,zc3hf_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
334,1,BRD1,zn226_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
335,1,BRD1,zn226_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
336,1,BRD4,h1bp3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
337,1,BRD4,mlf2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
338,1,caspa_human_gene,IRF4,gene,protein,Homo sapiens KMS12 myeloma cell,1
339,1,CBX8,ari3a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
340,1,CBX8,ari3b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
341,1,CBX8,cdkn1a_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
342,1,CBX8,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
343,1,CBX8,irf4_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
344,1,CBX8,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
345,1,ccnd2_human_gene,NR4A1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
346,1,ccng2_human_gene,HDAC2,gene,protein,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
347,1,ccng2_human_gene,MYCN,gene,protein,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
348,1,cd69_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
349,1,cd8b_human_gene,CREM,gene,protein,Homo sapiens CD8+ T lymphocyte,1
350,1,CDK9,hsp70_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
351,1,CDK9,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
352,1,cdkn1b_human_gene,BCL6,gene,protein,Homo sapiens OCI-LY7 B cell lymphoma cell,1
353,1,cdkn1b_human_gene,BCOR,gene,protein,Homo sapiens OCI-LY7 B cell lymphoma cell,1
354,1,CEBPA,fto_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
355,1,CEBPB,ccl3_human_gene,protein,gene,Homo sapiens T/C-28a2 chondrocyte cell,1
356,1,CEBPB,ccl4_human_gene,protein,gene,Homo sapiens T/C-28a2 chondrocyte cell,1
357,1,cflar_human_gene,IRF4,gene,protein,Homo sapiens KMS12 myeloma cell,1
358,1,cflar_human_gene,IRF4,gene,protein,Homo sapiens UTMC2 monoclonal plasma cell,1
359,1,cflar_human_gene,MYC,gene,protein,Homo sapiens A172 glioblastoma cell,1
360,1,CHD4,kcd16_mouse_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
361,1,clp1_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
362,1,COMMD1,birc3_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
363,1,cp11a_human_gene,CEBPB,gene,protein,Homo sapiens KGN ovarian granulosa cell,1
364,1,cp2a6_human_gene,H4C16,gene,protein,Homo sapiens hepatocyte,1
365,1,cp2a6_human_gene,HNF4A,gene,protein,Homo sapiens hepatocyte,1
366,1,CREB1,fos_mouse_gene,protein,gene,Mouse myeloid progenitor cells,1
367,1,CREB1,vegfa_human_gene,protein,gene,Homo sapiens NCM460 colon mucosal epithelial cell,1
368,1,CREBBP,vegfa_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
369,1,CREM,il17_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
370,1,CREM,il17f_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
371,1,CTNNB1,bcl2l1_human_gene,protein,gene,Homo sapiens HuTu80 duodenum adenocarcinoma cell,1
372,1,CTNNB1,birc5_human_gene,protein,gene,Homo sapiens HuTu80 duodenum adenocarcinoma cell,1
373,1,cxcl2_human_gene,KLF6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
374,1,dmap1_human_gene,BRD4,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
375,1,DNMT1,bmpr1b_human_gene,protein,gene,Homo sapiens glioblastoma,1
376,1,EP300,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
377,1,EP300,sphk1_human_gene,protein,gene,Homo sapiens endothelium,1
378,1,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
379,1,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
380,1,EZH2,cdkn1b_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
381,1,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
382,1,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
383,1,EZH2,prdm1_human_gene,protein,gene,Homo sapiens OCI-LY7 B cell lymphoma cell,1
384,1,fos_human_gene,SMARCB1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
385,1,fos_mouse_gene,MEIS1,gene,protein,Mouse myeloid progenitor cells,1
386,1,FOSL2,sox4_human_gene,protein,gene,Homo sapiens HuT 102 peripheral blood cutaneous T-cell lymphoma cell,1
387,1,FOSL2,sox4_human_gene,protein,gene,Homo sapiens ST1 adult T cell lymphoma cell,1
388,1,fosl2_human_gene,STAT5A,gene,protein,Homo sapiens T-lymphoblast,1
389,1,FOXK1,mcm2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
390,1,FOXM1,lef1_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
391,1,FOXM1,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
392,1,FOXP3,ctla4_mouse_gene,protein,gene,Mouse T cell,1
393,1,Foxp3,ifng_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
394,1,Foxp3,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
395,1,FOXP3,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
396,1,FOXP3,il2_mouse_gene,protein,gene,Mouse T cell,1
397,1,FOXP3,il2ra_mouse_gene,protein,gene,Mouse T cell,1
398,1,foxp3_human_gene,HDAC1,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
399,1,foxp3_human_gene,KAT2B,gene,protein,Homo sapiens CD4+ T-cell,1
400,1,foxp3_human_gene,NFATC2,gene,protein,Homo sapiens CD4+ T-cell,1
401,1,foxp3_human_gene,SIN3A,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
402,1,foxp3_human_gene,STAT3,gene,protein,Homo sapiens CD4+ T-cell,1
403,1,fril_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
404,1,h1bp3_human_gene,JMJD6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
405,1,H4C16,fos_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
406,1,H4C16,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
407,1,H4C16,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
408,1,H4C16,sphk1_human_gene,protein,gene,Homo sapiens endothelium,1
409,1,H4C16,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
410,1,HCFC1,birc5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
411,1,HCFC1,rir1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
412,1,HCFC1,thap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
413,1,HCFC1,tor1a_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
414,1,hck_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
415,1,hck_human_gene,RXRA,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
416,1,HDAC1,il17_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
417,1,hdac6_human_gene,ERG,gene,protein,Homo sapiens endothelium,1
418,1,hist1h2bh_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
419,1,hist1h3c_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
420,1,hist1h4e_human_gene,TP73,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
421,1,hme1_human_gene,BPTF,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
422,1,hme1_human_gene,SMARCA1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
423,1,hme2_human_gene,BPTF,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
424,1,hme2_human_gene,SMARCA1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
425,1,HNF4A,myc_human_gene,protein,gene,Homo sapiens gastric tissue,1
426,1,HNRNPK,cdkn1a_human_gene,protein,gene,Homo sapiens,1
427,1,hoxa5_human_gene,KMT2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
428,1,hoxa7_human_gene,KAT6A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
429,1,hoxa9_human_gene,CDC73,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
430,1,hoxa9_human_gene,PAF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
431,1,hoxa9_human_gene,Q03164-PRO_0000390949,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
432,1,hoxa9_mouse_gene,KAT5,gene,protein,Mus musculus,1
433,1,hsp70_human_gene,AFF4,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
434,1,hsp70_human_gene,MED1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
435,1,hsp70_human_gene,POLR2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
436,1,hsp70_human_gene,TBP,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
437,1,ifng_human_gene,FOXP3,gene,protein,Homo sapiens CD4+ T-cell,1
438,1,ifng_human_gene,RUNX1,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
439,1,ifng_human_gene,TRIM28,gene,protein,Homo sapiens CD4+ T-cell,1
440,1,ifng_human_gene,ZFP90,gene,protein,Homo sapiens CD4+ T-cell,1
441,1,igfbp7_human_gene,JUN,gene,protein,Homo sapiens melanocyte,1
442,1,ikba_human_gene,KLF6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
443,1,il10_mouse_gene,SP1,gene,protein,mouse M15 cells,1
444,1,il2_human_gene,FOS,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
445,1,il2_human_gene,H4C16,gene,protein,Homo sapiens CD4+ T-cell,1
446,1,il2_human_gene,JUNB,gene,protein,Homo sapiens umbilical cord blood CD4+ T cell,1
447,1,il2_human_gene,RUNX1,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
448,1,il2_human_gene,TRIM28,gene,protein,Homo sapiens CD4+ T-cell,1
449,1,il2_human_gene,ZFP90,gene,protein,Homo sapiens CD4+ T-cell,1
450,1,il2ra_human_gene,RELA,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
451,1,il2ra_human_gene,STAT5B,gene,protein,Homo sapiens YT natural-killer-like cell,1
452,1,il8_human_gene,RPS3,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
453,1,IRF4,caspa_human_gene,protein,gene,Homo sapiens KMS12 myeloma cell,1
454,1,IRF4,caspa_human_gene,protein,gene,Homo sapiens UTMC2 monoclonal plasma cell,1
455,1,IRF4,cflar_human_gene,protein,gene,Homo sapiens KMS12 myeloma cell,1
456,1,IRF5,tnfa_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
457,1,JMJD6,dmap1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
458,1,JMJD6,kat5_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
459,1,JUN,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
460,1,JUN,pa24a_human_gene,protein,gene,Homo sapiens Type II pulmonary alveolar epithelial cell,1
461,1,jun_human_gene,MYC,gene,protein,Homo sapiens A172 glioblastoma cell,1
462,1,JUND,sox4_human_gene,protein,gene,Homo sapiens CD4+ T-cell,1
463,1,JUND,sox4_human_gene,protein,gene,Homo sapiens HuT 102 peripheral blood cutaneous T-cell lymphoma cell,1
464,1,kat5_human_gene,BRD4,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
465,1,KAT6A,hoxa5_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
466,1,KAT6A,hoxa9_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
467,1,Klf2,s1pr1_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
468,1,klf4_human_gene,SPI1,gene,protein,Homo sapiens,1
469,1,KLF6,il8_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
470,1,KMT2A,cdkn1b_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
471,1,KMT2A,msx2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
472,1,KSR1,cdk4_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
473,1,lef1_human_gene,CTNNB1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
474,1,lef1_human_gene,TCF7L2,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
475,1,LEO1,hoxa9_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
476,1,mdm2_human_gene,MYCN,gene,protein,Homo sapiens SK-N-DZ neuroblastoma cell,1
477,1,MED1,podxl_human_gene,protein,gene,Homo sapiens HGEC glomerular endothelial cell,1
478,1,MED26,hsp70_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
479,1,MED26,myc_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
480,1,mlf2_human_gene,JMJD6,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
481,1,mmp3_human_gene,STAT3,gene,protein,Homo sapiens brain microvascular endothelium,1
482,1,msx2_human_gene,PPIE,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
483,1,msx2_human_gene,Q03164-PRO_0000390949,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
484,1,MTDH,il8_human_gene,protein,gene,Homo sapiens H4 neurogioma cell,1
485,1,myc_human_gene,AFF1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
486,1,myc_human_gene,ELL,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
487,1,myc_human_gene,FOXM1,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
488,1,myc_human_gene,MLLT3,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
489,1,myc_human_gene,MYB,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
490,1,myc_human_gene,POLR2A,gene,protein,Homo sapiens HEK293T embryonic kidney cell,1
491,1,MYCN,apex1_mouse_gene,protein,gene,Mouse Neuroblastoma,1
492,1,MYCN,apr_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
493,1,MYCN,apr_human_gene,protein,gene,Homo sapiens SK-N-DZ neuroblastoma cell,1
494,1,MYCN,mdm2_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
495,1,MYCN,mir17hg_human_gene,protein,gene,Homo sapiens KELLY neuroblastoma cell,1
496,1,MYCN,mir17hg_human_gene,protein,gene,Homo sapiens SK-N-DZ neuroblastoma cell,1
497,1,Ncor1,pdk4_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
498,1,NCOR1,tf65_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
499,1,NFATC1,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
500,1,NFKBIZ,il6_human_gene,protein,gene,Homo sapiens decidua,1
501,1,NR4A1,ccnd2_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
502,1,P19838-PRO_0000030311,tnfl6_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
503,1,pa24a_human_gene,EP300,gene,protein,Homo sapiens Type II pulmonary alveolar epithelial cell,1
504,1,pa24a_human_gene,FOS,gene,protein,Homo sapiens Type II pulmonary alveolar epithelial cell,1
505,1,pckcg_human_gene,ZNF746,gene,protein,Homo sapiens SH-SY5Y cell,1
506,1,pdk4_human_gene,ESRRA,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
507,1,pdk4_human_gene,PPARGC1A,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
508,1,PML-RAR,ab1ip_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
509,1,PML-RAR,csf3r_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
510,1,PML-RAR,fes_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
511,1,PML-RAR,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
512,1,PML-RAR,hck_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
513,1,PML-RAR,psb10_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
514,1,PML-RAR,tnr18_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
515,1,podxl_human_gene,H4C16,gene,protein,Homo sapiens HGEC glomerular endothelial cell,1
516,1,podxl_human_gene,VDR,gene,protein,Homo sapiens HGEC glomerular endothelial cell,1
517,1,POLR2A,g3p_human_gene,protein,gene,Homo sapiens HEK293T embryonic kidney cell,1
518,1,polr2k_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
519,1,PPIE,hoxa9_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
520,1,prdm1_human_gene,BCOR,gene,protein,Homo sapiens OCI-LY7 B cell lymphoma cell,1
521,1,prgc1_human_gene,ZNF746,gene,protein,Homo sapiens brain,1
522,1,Q03164-PRO_0000390949,cdkn1b_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
523,1,rarb_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
524,1,REL,foxp3_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
525,1,RELA,cxcl2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
526,1,RELA,nod2_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
527,1,rnls_human_gene,SP1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
528,1,rnls_human_gene,STAT3,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
529,1,rorg_human_gene,USF2,gene,protein,Homo sapiens Jurkat T-cell leukemia cell,1
530,1,rpl22_human_gene,FOXK1,gene,protein,Homo sapiens HEK293 embryonic kidney cell,1
531,1,RPS3,ikba_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
532,1,RPS3,ikba_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
533,1,RPS3,il2_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
534,1,RPS3,il8_human_gene,protein,gene,Homo sapiens Jurkat T-cell leukemia cell,1
535,1,RXRA,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
536,1,RXRA,rarb_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
537,1,SMAD1,id1_mouse_gene,protein,gene,Mouse C3H muscle myoblast,1
538,1,SMAD1,smad7_mouse_gene,protein,gene,Mouse C3H muscle myoblast,1
539,1,SMAD3,zeb2_human_gene,protein,gene,Homo sapiens MCF10a non-transformed breast epithelial cell,1
540,1,sox17_human_gene,POU5F1,gene,protein,Homo sapiens IPS induced pluripotent stem cell,1
541,1,sox4_human_gene,JUND,gene,protein,Homo sapiens ST1 adult T cell lymphoma cell,1
542,1,SP1,ccng2_human_gene,protein,gene,Homo sapiens SK-N-BE(2) neuroblastoma cell,1
543,1,Sp3,prkra_human_gene,protein,gene,In vitro,1
544,1,SP6,sphk1_human_gene,protein,gene,Homo sapiens HEK293 embryonic kidney cell,1
545,1,SPI1,ab1ip_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
546,1,SPI1,csf3r_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
547,1,SPI1,fes_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
548,1,SPI1,fril_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
549,1,SPI1,hck_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
550,1,SPI1,psb10_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
551,1,SPI1,tnr18_human_gene,protein,gene,Homo sapiens U937-PR9 pro-monocytic cell,1
552,1,spi1_human_gene,PML-RAR,gene,protein,Homo sapiens U937-PR9 pro-monocytic cell,1
553,1,star_human_gene,CEBPB,gene,protein,Homo sapiens KGN ovarian granulosa cell,1
554,1,Stat3,mmp3_human_gene,protein,gene,Homo sapiens brain microvascular endothelium,1
